	Kingdom	Phylum	Class	Order	Family	Genus
OTU_5062	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767_ge
OTU_5063	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
OTU_5064	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
OTU_5065	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_unclassified
OTU_5066	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
OTU_5067	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5068	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_5069	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	uncultured
OTU_507	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter
OTU_5070	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_5071	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_5072	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_12
OTU_5073	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
OTU_5074	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU_5075	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus
OTU_5076	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5077	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa_or	Lineage_IIa_fa	Lineage_IIa_ge
OTU_5078	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales_unclassified	Chloroflexales_unclassified
OTU_5079	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales_unclassified	Chloroflexales_unclassified
OTU_508	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
OTU_5080	Bacteria	Planctomycetota	OM190	OM190_or	OM190_fa	OM190_ge
OTU_5081	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobiaceae_ge
OTU_5082	Bacteria	Desulfobacterota	Desulfobacterota_unclassified	Desulfobacterota_unclassified	Desulfobacterota_unclassified	Desulfobacterota_unclassified
OTU_5083	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_unclassified	Saccharimonadales_unclassified
OTU_5084	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	B1-7BS_ge
OTU_5085	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
OTU_5086	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured
OTU_5087	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsiaceae_unclassified
OTU_5089	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_509	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
OTU_5090	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babeliaceae_ge
OTU_5091	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
OTU_5092	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga
OTU_5093	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_5094	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
OTU_5095	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_unclassified
OTU_5096	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
OTU_5097	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
OTU_5098	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured
OTU_5099	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group_ge
OTU_51	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_510	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Candidatus_Entotheonella
OTU_5100	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13
OTU_5101	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	E1B-B3-114
OTU_5102	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_5103	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum
OTU_5104	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
