Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
REJXNPK9	0.097	0.00361	850.4	0.967	0.649	41.9	79.4	22000	846	0.407	0.0334	4.37	6.31	1.9
REJXNPKM1	0.156	0.00303	927.2	0.953	0.615	31.4	66.7	22000	923	0.427	0.0475	4.2	6.06	1.82
REJXNPKM2	0.075	0.00458	1080.6	0.973	0.661	52	100.7	22000	1077	0.418	0.0267	4.61	6.65	2
REJXNPKM3	0.143	0.00378	984.7	0.961	0.642	39.2	83.3	22000	979	0.451	0.0389	4.42	6.38	1.92
REJXNPKM4	0.174	0.00417	1187	0.953	0.639	36	91.8	22000	1184	0.406	0.0466	4.52	6.52	1.96
REJXNPKM5	0.268	0.00246	982.8	0.914	0.579	19.9	54.1	22000	979	0.448	0.0862	3.99	5.76	1.73
REJXNPKM6	0.134	0.00272	802	0.95	0.612	29	59.8	22000	798	0.408	0.0498	4.09	5.9	1.78
REJXNPKM8	0.0843	0.00599	1083.2	0.977	0.699	66.2	131.7	22000	1080	0.387	0.0226	4.88	7.04	2.12
REJXNPKM9	0.0927	0.00526	1061.3	0.974	0.682	58.3	115.8	22000	1058	0.403	0.0255	4.75	6.86	2.06
REHLSCK1	0.513	0.000555	626.1	0.715	0.389	4.92	12.2	22000	622	0.462	0.285	2.5	3.61	1.09
REHLSCK2	0.482	0.000972	710	0.76	0.467	6.67	21.4	22000	706	0.431	0.24	3.06	4.42	1.33
REHLSCK3	0.603	0.00049	598.3	0.627	0.372	3.79	10.8	22000	594	0.435	0.373	2.38	3.43	1.03
REHLSNPK1	0.16	0.00299	902.8	0.944	0.615	28	65.7	22000	900	0.39	0.0562	4.18	6.04	1.82
REHLSNPK2	0.149	0.00138	716.8	0.917	0.52	15.7	30.4	22000	710	0.482	0.0826	3.41	4.93	1.48
REHLSNPK3	0.284	0.00114	672.4	0.867	0.495	10.7	25	22000	670	0.417	0.133	3.22	4.64	1.4
REHLSNPKM1	0.332	0.000978	634.1	0.851	0.476	9.56	21.5	22000	629	0.475	0.149	3.07	4.43	1.33
REHLSNPKM2	0.244	0.00127	563.1	0.899	0.526	13.8	28	22000	560	0.401	0.101	3.33	4.81	1.45
REHLSNPKM3	0.358	0.00097	726.8	0.837	0.465	8.84	21.3	22000	722	0.463	0.163	3.06	4.41	1.33
REHLLNPK1	0.17	0.00267	992.5	0.942	0.591	25.9	58.8	22000	990	0.432	0.0578	4.07	5.88	1.77
REHLLNPK2	0.177	0.00254	966.9	0.939	0.586	24.3	55.9	22000	964	0.412	0.0613	4.02	5.81	1.75
REHLLNPKM1	0.161	0.0025	856.3	0.945	0.594	26.2	54.9	22000	853	0.412	0.0548	4.01	5.78	1.74
REHLLNPKM2	0.0966	0.00501	1102.4	0.974	0.672	55.2	110.3	22000	1099	0.404	0.0265	4.7	6.79	2.04
LJXCK1	0.285	0.00102	349	0.892	0.532	12.9	22.4	22000	344	0.478	0.108	3.11	4.49	1.35
LJXCK2	0.25	0.001	343.6	0.9	0.532	13.3	22	22000	336	0.475	0.0996	3.09	4.46	1.34
LJXCK3	0.505	0.000539	331.1	0.731	0.428	5.38	11.9	22000	323	0.485	0.269	2.47	3.57	1.07
LJXCK4	0.114	0.00136	349.8	0.945	0.582	21.4	30	22000	347	0.402	0.0547	3.4	4.91	1.48
LJXCK6	0.129	0.00129	319.7	0.934	0.581	18.8	28.4	22000	317	0.355	0.066	3.35	4.83	1.45
LJXCK7	0.237	0.00086	363.1	0.882	0.5	11	18.9	22000	357	0.439	0.118	2.94	4.24	1.28
LJXCK8	0.196	0.00102	427.2	0.914	0.515	14.5	22.5	22000	422	0.52	0.0859	3.12	4.49	1.35
LJXCK9	0.224	0.00088	295.6	0.905	0.523	12.9	19.4	22000	288	0.433	0.0954	2.96	4.27	1.29
LJXNPK1	0.617	0.000256	202.8	0.603	0.326	3.22	5.62	22000	199	0.47	0.397	1.73	2.49	0.75
LJXNPK2	0.296	0.000474	253.4	0.823	0.425	6.85	10.4	22000	250	0.458	0.177	2.34	3.38	1.02
LJXNPK3	0.31	0.00051	191.4	0.841	0.462	7.66	11.2	22000	187	0.457	0.159	2.42	3.49	1.05
LJXNPK4	0.382	0.000713	329.7	0.83	0.476	8.31	15.7	22000	326	0.425	0.17	2.75	3.97	1.2
LJXNPK5	0.311	0.000625	273	0.84	0.47	8.12	13.8	22000	264	0.479	0.16	2.62	3.78	1.14
LJXNPK6	0.281	0.000631	287.5	0.861	0.467	8.96	13.9	22000	279	0.457	0.139	2.63	3.8	1.14
LJXNPK7	0.445	0.000482	369.6	0.77	0.4	5.79	10.6	22000	366	0.469	0.23	2.36	3.41	1.03
LJXNPK8	0.187	0.00111	386.3	0.917	0.538	15.3	24.4	22000	380	0.467	0.0834	3.19	4.61	1.39
LJXNPK9	0.35	0.000797	417.8	0.845	0.476	9.01	17.5	22000	410	0.499	0.155	2.86	4.13	1.24
LJXNPKM1	0.231	0.000637	277.8	0.876	0.471	9.54	14	22000	272	0.462	0.124	2.64	3.81	1.15
LJXNPKM2	0.324	0.000595	304.4	0.819	0.452	7.22	13.1	22000	297	0.453	0.181	2.57	3.71	1.12
LJXNPKM3	0.192	0.0013	387.5	0.923	0.563	17.2	28.6	22000	384	0.397	0.0765	3.35	4.84	1.46
LJXNPKM4	0.215	0.000796	394	0.885	0.48	10.8	17.5	22000	390	0.46	0.115	2.86	4.13	1.24
LJXNPKM5	0.207	0.00107	444.5	0.901	0.519	13.3	23.6	22000	441	0.4	0.0989	3.16	4.56	1.37
LJXNPKM6	0.369	0.00073	383.2	0.825	0.467	7.98	16.1	22000	380	0.43	0.175	2.78	4.01	1.21
LJXNPKM7	0.368	0.000533	259.7	0.816	0.444	6.99	11.7	22000	257	0.438	0.184	2.46	3.55	1.07
LJXNPKM8	0.331	0.000703	301.6	0.85	0.481	8.87	15.5	22000	297	0.416	0.15	2.74	3.95	1.19
LJXNPKM9	0.217	0.00108	300.3	0.921	0.556	16.1	23.8	22000	297	0.466	0.0795	3.17	4.57	1.38
LHLCK1	0.453	0.000246	195.8	0.671	0.322	3.51	5.42	22000	190	0.445	0.329	1.69	2.44	0.734
LHLCK2	0.313	0.000457	272.6	0.808	0.414	6.28	10	22000	265	0.485	0.192	2.31	3.33	1
LHLCK3	0.249	0.000789	307.7	0.882	0.499	10.7	17.4	22000	304	0.436	0.118	2.85	4.12	1.24
LHLCK4	0.507	0.000507	328.9	0.728	0.417	5.22	11.1	22000	325	0.439	0.272	2.41	3.48	1.05
LHLCK5	0.405	0.00059	290.9	0.807	0.453	7.11	13	22000	286	0.456	0.193	2.56	3.7	1.11
LHLCK6	0.568	0.000367	302.5	0.661	0.366	3.99	8.07	22000	298	0.462	0.339	2.09	3.01	0.907
LHLCK7	0.56	0.000243	233.8	0.623	0.31	3.19	5.35	22000	224	0.471	0.377	1.68	2.42	0.728
LHLCK9	0.215	0.000946	351.9	0.891	0.518	12.2	20.8	22000	349	0.429	0.109	3.04	4.38	1.32
