OTUID	BS	P	LE	RS	RE	SE	VE
OTU_6441	3.76E-04	0.00E+00	0.00E+00	2.38E-04	4.08E-05	0.00E+00	0.00E+00
OTU_6442	4.36E-04	0.00E+00	0.00E+00	3.94E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6443	4.80E-04	1.60E-06	0.00E+00	2.18E-04	3.95E-05	0.00E+00	0.00E+00
OTU_6444	4.46E-04	0.00E+00	0.00E+00	3.25E-04	5.30E-05	0.00E+00	0.00E+00
OTU_6445	8.97E-04	3.99E-06	0.00E+00	1.80E-04	1.78E-05	0.00E+00	0.00E+00
OTU_6446	3.12E-05	0.00E+00	0.00E+00	5.25E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6447	1.35E-04	0.00E+00	0.00E+00	1.59E-04	6.67E-06	0.00E+00	0.00E+00
OTU_6448	1.11E-04	1.60E-06	0.00E+00	1.83E-04	1.12E-05	0.00E+00	0.00E+00
OTU_6449	1.88E-04	2.36E-05	6.81E-06	1.67E-04	4.32E-05	3.32E-06	0.00E+00
OTU_645	3.52E-05	1.05E-02	1.22E-03	1.82E-03	1.60E-04	3.20E-01	8.16E-04
OTU_6450	5.89E-03	0.00E+00	0.00E+00	6.38E-03	4.24E-04	7.68E-05	0.00E+00
OTU_6451	3.38E-04	0.00E+00	1.62E-06	4.57E-04	1.56E-05	0.00E+00	0.00E+00
OTU_6452	3.29E-05	0.00E+00	0.00E+00	2.48E-05	2.79E-05	0.00E+00	4.63E-06
OTU_6453	8.56E-04	0.00E+00	0.00E+00	4.10E-04	3.44E-05	0.00E+00	0.00E+00
OTU_6454	5.35E-04	0.00E+00	0.00E+00	1.88E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6455	2.66E-04	0.00E+00	0.00E+00	8.57E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6456	1.31E-02	7.74E-06	3.14E-06	1.18E-02	1.35E-04	0.00E+00	0.00E+00
OTU_6457	4.66E-04	0.00E+00	0.00E+00	2.33E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6458	2.79E-04	0.00E+00	0.00E+00	4.95E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6459	3.39E-04	0.00E+00	0.00E+00	7.01E-05	0.00E+00	0.00E+00	0.00E+00
OTU_646	7.15E-03	3.90E-03	1.41E-03	4.36E-02	6.32E-02	2.51E-04	7.16E-05
OTU_6460	9.15E-04	0.00E+00	0.00E+00	1.50E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6461	6.73E-05	0.00E+00	0.00E+00	8.76E-05	2.70E-05	0.00E+00	0.00E+00
OTU_6462	1.40E-04	0.00E+00	0.00E+00	2.20E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6463	1.68E-05	0.00E+00	0.00E+00	1.75E-04	2.10E-05	0.00E+00	0.00E+00
OTU_6464	1.52E-04	0.00E+00	0.00E+00	1.70E-04	9.72E-06	0.00E+00	0.00E+00
OTU_6465	4.62E-04	0.00E+00	0.00E+00	1.51E-04	2.18E-05	0.00E+00	0.00E+00
OTU_6466	1.38E-05	8.36E-04	1.16E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_6467	1.35E-03	0.00E+00	0.00E+00	1.52E-04	1.53E-04	0.00E+00	0.00E+00
OTU_6468	4.54E-04	0.00E+00	0.00E+00	3.29E-04	1.59E-06	0.00E+00	0.00E+00
OTU_6469	1.46E-03	0.00E+00	0.00E+00	2.61E-04	2.57E-05	0.00E+00	0.00E+00
OTU_647	8.63E-03	1.88E-04	1.98E-05	2.58E-02	1.61E-02	1.97E-04	6.99E-06
OTU_6470	6.97E-05	0.00E+00	0.00E+00	2.24E-05	0.00E+00	1.31E-03	0.00E+00
