	otu	otu_occ	otu_rel
474	OTU_13839	0.033333333	8.714433e-07
475	OTU_74	0.083333333	3.260594e-07
476	OTU_206	0.050000000	5.692268e-07
477	OTU_178	0.033333333	3.003986e-07
478	OTU_449	0.075000000	4.934589e-07
479	OTU_481	0.066666667	4.367819e-07
480	OTU_249	0.066666667	4.050618e-07
481	OTU_522	0.058333333	1.037062e-06
482	OTU_544	0.050000000	8.515735e-07
483	OTU_930	0.066666667	3.793389e-07
484	OTU_12996	0.075000000	3.726103e-07
485	OTU_3271	0.066666667	6.249828e-07
486	OTU_5815	0.050000000	6.889248e-07
487	OTU_2305	0.075000000	6.647588e-07
488	OTU_2432	0.033333333	5.333784e-07
489	OTU_3915	0.008333333	1.688496e-07
490	OTU_3518	0.016666667	4.535771e-07
491	OTU_13799	0.008333333	3.140175e-07
492	OTU_8984	0.008333333	1.688496e-07
493	OTU_8617	0.066666667	4.012520e-07
494	OTU_1609	0.058333333	5.072887e-07
495	OTU_13613	0.075000000	5.621025e-07
496	OTU_4892	0.008333333	1.688496e-07
497	OTU_6621	0.041666667	3.793340e-07
498	OTU_9654	0.025000000	2.207694e-07
499	OTU_10934	0.050000000	3.793114e-07
500	OTU_80	0.066666667	3.749417e-07
501	OTU_95	0.050000000	4.502487e-07
502	OTU_1352	0.075000000	4.229868e-07
503	OTU_242	0.058333333	3.609370e-07
504	OTU_299	0.075000000	4.781032e-07
505	OTU_108	0.066666667	3.547526e-07
506	OTU_161	0.058333333	8.059699e-07
507	OTU_4703	0.058333333	5.783420e-07
508	OTU_226	0.041666667	2.553755e-07
509	OTU_1720	0.066666667	5.666987e-07
510	OTU_1011	0.058333333	5.787128e-07
511	OTU_216	0.016666667	1.558022e-07
512	OTU_328	0.058333333	2.776420e-07
513	OTU_6704	0.075000000	4.723543e-07
514	OTU_952	0.058333333	2.936366e-07
515	OTU_2724	0.041666667	5.923576e-07
516	OTU_5188	0.050000000	4.064714e-07
517	OTU_10377	0.058333333	3.555396e-07
518	OTU_664	0.066666667	3.991293e-07
519	OTU_819	0.016666667	8.702938e-07
520	OTU_539	0.041666667	3.822894e-07
521	OTU_1045	0.075000000	6.539993e-07
522	OTU_2898	0.033333333	2.724475e-07
523	OTU_8144	0.075000000	3.807842e-07
524	OTU_13712	0.050000000	3.424355e-07
525	OTU_13008	0.058333333	3.778626e-07
526	OTU_2175	0.025000000	5.689452e-07
527	OTU_9124	0.033333333	3.898647e-07
528	OTU_1753	0.058333333	1.076130e-06
529	OTU_1284	0.025000000	3.282062e-07
530	OTU_1305	0.016666667	5.293836e-07
531	OTU_463	0.075000000	4.304815e-07
532	OTU_8792	0.066666667	8.482178e-07
533	OTU_3564	0.033333333	3.299991e-07
534	OTU_3899	0.008333333	1.519646e-07
535	OTU_2117	0.033333333	6.663323e-07
536	OTU_774	0.033333333	3.484025e-07
537	OTU_282	0.066666667	2.583774e-07
538	OTU_170	0.058333333	4.212646e-07
539	OTU_9500	0.058333333	4.583423e-07
540	OTU_361	0.041666667	2.982968e-07
541	OTU_195	0.008333333	1.350796e-07
542	OTU_6426	0.066666667	3.315096e-07
543	OTU_202	0.058333333	2.761139e-07
544	OTU_412	0.033333333	1.628855e-07
545	OTU_741	0.058333333	4.411430e-07
546	OTU_347	0.041666667	2.657525e-07
547	OTU_717	0.008333333	1.350796e-07
548	OTU_9854	0.050000000	3.189132e-07
549	OTU_374	0.050000000	3.112661e-07
550	OTU_2214	0.058333333	3.025739e-07
551	OTU_660	0.041666667	3.904341e-07
552	OTU_569	0.008333333	1.350796e-07
553	OTU_2085	0.033333333	2.778282e-07
554	OTU_10884	0.041666667	6.602733e-07
555	OTU_5356	0.008333333	2.512140e-07
556	OTU_1621	0.016666667	1.364793e-07
557	OTU_6698	0.066666667	5.010937e-07
558	OTU_5952	0.033333333	3.227171e-07
559	OTU_11861	0.058333333	5.297665e-07
560	OTU_2834	0.041666667	4.393902e-07
561	OTU_11743	0.050000000	4.714456e-07
562	OTU_169	0.041666667	3.800864e-07
563	OTU_560	0.033333333	3.125933e-07
564	OTU_425	0.041666667	3.534270e-07
565	OTU_221	0.058333333	2.814526e-07
566	OTU_5877	0.050000000	5.647271e-07
567	OTU_411	0.050000000	3.844271e-07
568	OTU_6231	0.050000000	3.193554e-07
569	OTU_9097	0.058333333	3.651063e-07
570	OTU_515	0.025000000	2.051808e-07
571	OTU_9190	0.041666667	3.305896e-07
572	OTU_1579	0.050000000	2.945410e-07
573	OTU_3294	0.050000000	2.491155e-07
574	OTU_6230	0.058333333	2.785123e-07
575	OTU_6362	0.033333333	4.124381e-07
576	OTU_2880	0.041666667	2.455498e-07
577	OTU_1260	0.033333333	7.168336e-07
